                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1579,                 0.7734,                 1.4228,                0.92507,                0.95577,                0.97894,                0.65683,                 1.1091,                0.79856,                 1.4789,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.1305,                0.77521,                 1.4255,                 0.9394,                0.93548,                0.98112,                0.66313,                   1.17,                0.71005,                 1.5794,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.1575,                0.76266,                 1.4325,                0.95855,                0.94839,                0.97257,                0.61414,                 1.1919,                0.74793,                 1.5393,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.1224,                0.74403,                  1.389,                0.95875,                 0.9871,                0.98937,                0.68115,                 1.0879,                 0.7115,                 1.4595,              0.0016436,              0.0016436,              0.0016436
                     39,                  1.162,                0.75965,                 1.4313,                0.97298,                0.92918,                0.98282,                0.63111,                 1.1443,                0.77702,                 1.5032,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.1467,                0.77644,                 1.4466,                0.94254,                0.95251,                0.97838,                0.65348,                 1.0969,                0.71227,                 1.5283,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.0772,                0.69633,                 1.3675,                0.95219,                0.98065,                0.98713,                0.68504,                 1.0125,                0.67309,                 1.4175,              0.0016139,              0.0016139,              0.0016139
                     42,                 1.0381,                0.68165,                 1.3319,                0.92926,                0.97419,                0.98827,                0.70784,                 1.0361,                0.64259,                 1.4113,               0.001604,               0.001604,               0.001604
                     43,                 1.0145,                 0.6806,                  1.314,                0.99584,                0.96129,                0.99046,                0.72929,                0.95066,                0.59792,                 1.3359,              0.0015941,              0.0015941,              0.0015941
                     44,                 1.0378,                 0.7087,                 1.3175,                0.95176,                0.94194,                0.97898,                0.68793,                 1.0447,                0.64447,                 1.4729,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.0354,                 0.7094,                 1.3369,                0.98725,                0.98065,                0.99157,                0.71354,                0.98202,                0.60787,                 1.3767,              0.0015743,              0.0015743,              0.0015743
                     46,                  1.008,                 0.6493,                 1.3079,                0.99329,                0.95506,                0.98977,                0.68239,                 1.1294,                0.59817,                 1.5181,              0.0015644,              0.0015644,              0.0015644
                     47,                  1.096,                0.68976,                 1.3768,                0.98053,                0.97482,                0.99361,                0.66972,                 1.0391,                0.66338,                 1.4495,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.0214,                0.64755,                 1.3155,                0.97341,                0.96774,                0.98317,                0.65854,                 1.0948,                0.67231,                 1.4649,              0.0015446,              0.0015446,              0.0015446
                     49,                0.98947,                0.66471,                 1.3053,                0.96835,                0.98065,                0.99223,                0.72907,                0.98522,                0.57687,                 1.3821,              0.0015347,              0.0015347,              0.0015347
                     50,                0.99297,                0.61525,                 1.2937,                0.99219,                0.96129,                0.99212,                0.73553,                0.98257,                0.57189,                 1.3828,              0.0015248,              0.0015248,              0.0015248
                     51,                 0.9939,                0.63324,                  1.308,                0.94264,                0.96774,                  0.988,                0.67287,                 1.0773,                0.63255,                 1.5012,              0.0015149,              0.0015149,              0.0015149
                     52,                0.96674,                  0.639,                 1.2872,                0.99344,                0.97709,                0.99449,                0.74676,                0.95312,                0.55048,                 1.3588,               0.001505,               0.001505,               0.001505
                     53,                0.96849,                0.62518,                 1.2806,                0.96813,                0.98004,                0.99225,                0.70879,                 1.0194,                0.60035,                 1.4327,              0.0014951,              0.0014951,              0.0014951
                     54,                0.95532,                0.60713,                 1.2703,                0.96732,                 0.9871,                0.98878,                0.72386,                 1.0105,                0.56694,                 1.4068,              0.0014852,              0.0014852,              0.0014852
                     55,                 0.9748,                0.63618,                 1.2804,                0.99125,                0.96774,                0.99309,                 0.6955,                 1.0294,                0.56969,                 1.3892,              0.0014753,              0.0014753,              0.0014753
                     56,                0.98206,                 0.6252,                 1.2733,                0.98069,                0.98273,                0.99006,                0.73593,                0.93675,                0.54282,                 1.3657,              0.0014654,              0.0014654,              0.0014654
                     57,                0.98682,                0.63498,                  1.283,                0.96132,                0.98065,                0.99157,                0.72507,                0.96611,                0.57147,                 1.3526,              0.0014555,              0.0014555,              0.0014555
                     58,                0.91988,                0.59129,                 1.2434,                0.94205,                0.94392,                0.98525,                0.71657,                0.93991,                0.57393,                  1.359,              0.0014456,              0.0014456,              0.0014456
                     59,                0.96006,                0.60316,                 1.2664,                0.95361,                0.97419,                0.99134,                0.71203,                0.98852,                0.56622,                  1.403,              0.0014357,              0.0014357,              0.0014357
                     60,                0.95322,                0.61969,                 1.2857,                0.96583,                 0.9871,                0.99219,                0.70057,                 1.0605,                0.56177,                  1.446,              0.0014258,              0.0014258,              0.0014258
                     61,                0.92177,                0.57961,                 1.2593,                0.98685,                0.97419,                0.99431,                0.76662,                0.87682,                0.51305,                 1.2902,              0.0014159,              0.0014159,              0.0014159
                     62,                0.90977,                0.58161,                 1.2272,                0.98845,                0.96774,                0.99359,                0.69019,                 1.0455,                0.56645,                 1.4202,               0.001406,               0.001406,               0.001406
                     63,                0.94152,                0.58742,                 1.2487,                0.99329,                0.94194,                 0.9874,                0.72094,                 0.9828,                0.55446,                 1.3864,              0.0013961,              0.0013961,              0.0013961
                     64,                  0.899,                0.55477,                 1.2247,                0.96568,                0.98065,                0.99328,                0.73165,                0.94908,                  0.541,                 1.3573,              0.0013862,              0.0013862,              0.0013862
                     65,                0.87602,                0.55447,                  1.212,                0.99345,                0.97871,                0.99443,                0.71833,                0.94502,                0.53381,                 1.3468,              0.0013763,              0.0013763,              0.0013763
                     66,                0.87864,                0.54621,                 1.2085,                0.97413,                 0.9871,                0.99423,                0.72828,                0.92413,                 0.5511,                 1.3335,              0.0013664,              0.0013664,              0.0013664
                     67,                0.85973,                0.54595,                 1.2089,                0.97922,                0.96774,                 0.9921,                0.72858,                0.93687,                0.51247,                 1.3394,              0.0013565,              0.0013565,              0.0013565
                     68,                0.88221,                0.54147,                 1.2047,                      1,                0.96915,                0.99347,                0.73224,                0.99203,                0.52912,                 1.3467,              0.0013466,              0.0013466,              0.0013466
                     69,                0.87692,                0.54608,                 1.2137,                0.98422,                0.98065,                0.99416,                0.76283,                0.87737,                0.49641,                 1.2814,              0.0013367,              0.0013367,              0.0013367
                     70,                 0.8386,                0.53111,                 1.1935,                 0.9839,                 0.9871,                0.99136,                0.73819,                0.93692,                0.51609,                 1.3541,              0.0013268,              0.0013268,              0.0013268
                     71,                0.87668,                0.54542,                 1.1921,                0.98018,                 0.9871,                0.99449,                0.72574,                0.94852,                0.52379,                 1.3714,              0.0013169,              0.0013169,              0.0013169
                     72,                0.85733,                0.54028,                 1.1747,                 0.9982,                 0.9871,                0.99428,                0.73017,                0.93961,                0.52098,                 1.3482,               0.001307,               0.001307,               0.001307
                     73,                0.86125,                0.54347,                    1.2,                0.98042,                0.98065,                0.99196,                0.75477,                0.93455,                0.52467,                 1.2901,              0.0012971,              0.0012971,              0.0012971
                     74,                0.86256,                0.53506,                 1.1873,                0.96835,                0.98681,                0.99385,                0.75078,                0.93696,                0.48474,                 1.3854,              0.0012872,              0.0012872,              0.0012872
                     75,                0.82336,                 0.5318,                 1.1723,                0.98691,                0.98065,                0.99381,                0.77092,                0.86889,                0.48243,                 1.2943,              0.0012773,              0.0012773,              0.0012773
