                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.56394,                0.34834,                0.99185,                 0.9971,                 0.9871,                0.99475,                0.81468,                 0.7889,                0.38671,                 1.2484,               0.000515,               0.000515,               0.000515
                    153,                0.56392,                0.34644,                 1.0093,                      1,                 0.9861,                0.99494,                0.82489,                0.75585,                0.36897,                 1.1906,              0.0005051,              0.0005051,              0.0005051
                    154,                0.56675,                0.34408,                 0.9888,                0.98713,                0.99005,                0.99487,                0.81625,                0.76841,                0.37961,                 1.1975,              0.0004952,              0.0004952,              0.0004952
                    155,                0.54459,                0.34794,                0.99713,                0.99334,                0.99355,                0.99494,                0.82691,                0.77619,                0.38469,                 1.2251,              0.0004853,              0.0004853,              0.0004853
                    156,                0.54898,                0.34696,                 1.0072,                0.99961,                0.99355,                  0.995,                0.80621,                0.78879,                0.38824,                 1.2395,              0.0004754,              0.0004754,              0.0004754
                    157,                0.54019,                0.33958,                0.98802,                  0.991,                0.99355,                0.99494,                0.79953,                0.76898,                0.38064,                 1.2308,              0.0004655,              0.0004655,              0.0004655
                    158,                0.54779,                0.34962,                0.99921,                0.99075,                0.99355,                0.99468,                0.81094,                0.77895,                0.37918,                 1.2368,              0.0004556,              0.0004556,              0.0004556
                    159,                0.51636,                0.33384,                0.97211,                0.99826,                0.99355,                  0.995,                0.81252,                0.77128,                0.36584,                 1.1974,              0.0004457,              0.0004457,              0.0004457
                    160,                 0.5111,                0.33274,                0.98755,                0.99487,                0.99355,                  0.995,                0.82449,                0.76221,                 0.3868,                 1.1996,              0.0004358,              0.0004358,              0.0004358
                    161,                0.55604,                0.34149,                 1.0049,                0.99939,                0.99355,                  0.995,                 0.8198,                0.77701,                0.38521,                 1.2371,              0.0004259,              0.0004259,              0.0004259
                    162,                 0.5418,                0.33304,                0.98508,                0.99609,                0.99355,                  0.995,                0.82561,                 0.7737,                0.37031,                 1.2046,               0.000416,               0.000416,               0.000416
                    163,                0.52641,                0.32907,                0.97493,                0.98142,                0.98065,                0.99406,                0.82425,                0.76013,                0.36322,                 1.2033,              0.0004061,              0.0004061,              0.0004061
                    164,                0.53291,                0.33271,                0.97957,                0.99259,                0.99355,                0.99494,                0.81461,                0.76278,                0.35802,                 1.2221,              0.0003962,              0.0003962,              0.0003962
                    165,                0.51144,                 0.3229,                0.97533,                0.99812,                0.99355,                  0.995,                0.81578,                 0.7831,                0.36609,                 1.2374,              0.0003863,              0.0003863,              0.0003863
                    166,                0.51536,                0.32313,                0.97103,                 0.9961,                0.99355,                  0.995,                0.82442,                0.75836,                0.36573,                 1.2027,              0.0003764,              0.0003764,              0.0003764
                    167,                0.53135,                0.33339,                0.98881,                0.99877,                0.99355,                  0.995,                0.81869,                0.77078,                 0.3635,                 1.2175,              0.0003665,              0.0003665,              0.0003665
                    168,                0.50973,                0.32555,                0.97752,                0.99843,                0.99355,                  0.995,                0.82467,                0.75474,                0.37318,                 1.2111,              0.0003566,              0.0003566,              0.0003566
                    169,                0.51275,                0.32794,                0.96562,                0.99354,                0.99168,                0.99494,                0.81729,                0.76329,                0.35782,                 1.1986,              0.0003467,              0.0003467,              0.0003467
                    170,                0.50155,                0.31339,                0.96955,                0.98659,                0.99355,                0.99487,                0.82598,                0.80156,                0.36153,                 1.2668,              0.0003368,              0.0003368,              0.0003368
                    171,                0.49778,                0.31968,                0.96351,                      1,                0.98572,                0.99487,                0.81733,                0.77487,                0.34604,                 1.2317,              0.0003269,              0.0003269,              0.0003269
                    172,                0.50046,                0.32267,                0.97797,                      1,                0.99199,                  0.995,                0.82545,                0.76382,                0.34686,                 1.2187,               0.000317,               0.000317,               0.000317
                    173,                0.51433,                0.32828,                0.98207,                0.99351,                0.98826,                0.99494,                0.82212,                0.76603,                 0.3501,                 1.2278,              0.0003071,              0.0003071,              0.0003071
                    174,                0.51297,                0.32336,                0.97618,                      1,                0.99219,                  0.995,                0.82027,                 0.7696,                0.36175,                 1.2416,              0.0002972,              0.0002972,              0.0002972
                    175,                0.50681,                0.32597,                0.96568,                      1,                0.99082,                  0.995,                0.82793,                0.76382,                0.36716,                 1.2157,              0.0002873,              0.0002873,              0.0002873
                    176,                0.49177,                0.31615,                0.95703,                0.98643,                0.99355,                0.99494,                0.82966,                0.74521,                0.36128,                 1.1828,              0.0002774,              0.0002774,              0.0002774
                    177,                0.49753,                 0.3114,                0.96577,                0.98716,                0.99198,                0.99487,                0.82242,                0.76205,                0.36132,                 1.2233,              0.0002675,              0.0002675,              0.0002675
                    178,                0.49714,                0.31645,                0.96652,                0.99351,                0.98775,                0.99494,                0.82075,                0.77903,                0.36382,                  1.246,              0.0002576,              0.0002576,              0.0002576
                    179,                0.49207,                0.30885,                0.96476,                0.99926,                0.99355,                  0.995,                0.82689,                0.76561,                0.35404,                 1.2231,              0.0002477,              0.0002477,              0.0002477
                    180,                0.49094,                0.31213,                 0.9696,                0.99352,                0.98966,                0.99494,                0.81311,                 0.7884,                0.36389,                 1.2489,              0.0002378,              0.0002378,              0.0002378
                    181,                0.49231,                0.30628,                0.96171,                0.99748,                 0.9871,                0.99487,                 0.8289,                 0.7678,                0.34888,                 1.2462,              0.0002279,              0.0002279,              0.0002279
                    182,                0.49117,                0.31287,                0.96785,                0.99697,                0.99355,                  0.995,                0.82621,                0.76458,                0.34501,                 1.2293,               0.000218,               0.000218,               0.000218
                    183,                 0.4888,                0.31028,                0.96115,                0.99164,                0.99355,                0.99494,                0.82991,                0.76727,                 0.3526,                 1.2308,              0.0002081,              0.0002081,              0.0002081
                    184,                0.48918,                 0.3173,                0.95592,                      1,                0.98902,                  0.995,                0.82622,                 0.7615,                0.35642,                 1.2176,              0.0001982,              0.0001982,              0.0001982
                    185,                0.50419,                0.31648,                0.95495,                0.99909,                0.99355,                  0.995,                0.83089,                0.72997,                0.35444,                 1.1891,              0.0001883,              0.0001883,              0.0001883
                    186,                0.47361,                0.29936,                0.95312,                0.98665,                0.99355,                0.99494,                  0.832,                0.74904,                0.35134,                 1.2003,              0.0001784,              0.0001784,              0.0001784
                    187,                0.46218,                0.29723,                0.94735,                0.99962,                0.99355,                  0.995,                0.81812,                0.77356,                0.35179,                 1.2431,              0.0001685,              0.0001685,              0.0001685
                    188,                0.47199,                0.30486,                0.95625,                 0.9873,                 0.9871,                0.99487,                 0.8362,                0.71275,                0.35078,                  1.179,              0.0001586,              0.0001586,              0.0001586
                    189,                0.46996,                0.30173,                0.95282,                0.99143,                0.99355,                0.99494,                0.82988,                0.74649,                0.35113,                 1.2062,              0.0001487,              0.0001487,              0.0001487
                    190,                0.46256,                0.29758,                0.95566,                 0.9871,                0.98722,                0.99487,                0.83052,                0.74362,                0.35736,                 1.2168,              0.0001388,              0.0001388,              0.0001388
                    191,                0.38524,                0.24865,                0.88513,                      1,                0.99242,                  0.995,                0.81832,                0.75225,                 0.3568,                 1.2322,              0.0001289,              0.0001289,              0.0001289
                    192,                0.37832,                0.24776,                0.88674,                      1,                0.99154,                  0.995,                0.81052,                0.76912,                0.35534,                 1.2487,               0.000119,               0.000119,               0.000119
                    193,                0.37363,                0.24582,                0.88032,                0.99485,                 0.9871,                0.99487,                0.81777,                0.76016,                0.35938,                 1.2322,              0.0001091,              0.0001091,              0.0001091
                    194,                0.36336,                0.24443,                0.87265,                0.99653,                 0.9871,                0.99487,                0.81844,                0.76231,                0.35405,                 1.2497,               9.92e-05,               9.92e-05,               9.92e-05
                    195,                0.36556,                0.24191,                0.87544,                0.99385,                 0.9871,                0.99487,                0.81982,                0.77073,                0.35533,                 1.2505,               8.93e-05,               8.93e-05,               8.93e-05
                    196,                0.36143,                0.23938,                0.87811,                0.99385,                 0.9871,                0.99494,                0.81926,                0.75973,                0.35248,                 1.2423,               7.94e-05,               7.94e-05,               7.94e-05
                    197,                0.36175,                0.24144,                0.88129,                      1,                0.99138,                  0.995,                0.82605,                0.74895,                0.35398,                 1.2282,               6.95e-05,               6.95e-05,               6.95e-05
                    198,                0.34405,                0.23681,                0.86874,                      1,                0.99145,                  0.995,                0.82535,                0.74695,                0.35407,                 1.2249,               5.96e-05,               5.96e-05,               5.96e-05
                    199,                0.35158,                0.23874,                0.86333,                0.99457,                 0.9871,                0.99494,                0.82446,                0.75312,                0.35623,                 1.2285,               4.97e-05,               4.97e-05,               4.97e-05
                    200,                0.34026,                0.22969,                0.86917,                0.99475,                 0.9871,                0.99487,                0.82416,                0.74972,                0.35478,                 1.2289,               3.98e-05,               3.98e-05,               3.98e-05
